# The Great Gatsby (2013) — Official Film Soundtrack Track List

| Track No. | Song Title | Artist / Performer | Notes |
| ---: | --- | --- | --- |
| 1 | 100$ Bill | Jay-Z | Used in promotional montage and party sequences |
| 2 | Back to Black | Beyoncé & André 3000 | Cover version for film soundtrack |
| 3 | Bang Bang | will.i.am | Features in party scene cues |
| 4 | A Little Party Never Killed Nobody (All We Got) | Fergie, Q-Tip & GoonRock | Featured during lavish party montage |
| 5 | Love Is the Drug | Bryan Ferry with the Bryan Ferry Orchestra | Jazz-age styled arrangement |
| 6 | Young and Beautiful | Lana Del Rey | Central theme song (end credits / key scenes) |
| 7 | Over the Love | Florence + the Machine | End credits track |
| 8 | Where the Wind Blows | Coco O. of Quadron | Appears during party/atmosphere cues |
| 9 | Crazy in Love (2014 Remix) | Beyoncé | Remix styled for period-meets-modern feel |
| 10 | Together | The xx | Moody instrumental used as score-like cue |
| 11 | Into the Past | Nero | Electronic cue for montage sequences |
| 12 | Love Is Blindness | Jack White | Cover used near climax |
| 13 | Green Light | Alicia Keys | Bonus soundtrack cut |
| 14 | No Church in the Wild | Jay-Z & Kanye West feat. Frank Ocean | Bonus / promotional use |
| 15 | Happy Together | Filter | Rock cover used for trailer/marketing in some regions |
