# List of National Highways in India ( Old numbering )
> State-wise list of National Highways ( Pre - rationalization numbers )

| S.No. | NH No. | Route | Length (km.) |
| --- | --- | --- | --- |
| 1 | 2 | From Haryana Border - Kosi - Mathura - Agra - Firozabad - Etawah - Aurraiya - Kanpur - Fatehpur - Allahabad - Gopiganj - Varanasi - Chandauli up to Bihar Border | 752 km (467 mi) |
| 2 | 2a | Sikandra - Bhognipur | 25 km (16 mi) |
| 3 | 3 | Agra up to Rajasthan Border | 26 km (16 mi) |
| 4 | 7 | Varanasi - Mirzapur - Lalganj - Baraundha up to M.P. Border | 128 km (80 mi) |
| 5 | 11 | Agra - Kiraoli up to Rajasthan Border | 51 km (32 mi) |
| 6 | 12A | From MP Border up to junction with NH 26 near Jhansi | 7 km (4.3 mi) |
| 7 | 19 | Ghazipur - Ballia - Rudrapur up to Bihar Border | 120 km (75 mi) |
| 8 | 24 | From Delhi Border - Ghaziabad - Hapur - Moradabad - Rampur - Bareilly - Shahjahanpur - Sitapur - Lucknow | 431 km (268 mi) |
| 9 | 24B | Allahabad - Rae Bareli - Lucknow | 189 km (117 mi) |
| 10 | 24A | Bakshi-Ka-Talab - Chinhat (NH 28) | 17 km (11 mi) |
| 11 | 25 | Lucknow - Unnao - Kanpur - Orai - Jhansi - Raksa up to M.P. Border | 270 km (170 mi) |
| 12 | 25A | Km19 (NH 25) - Bakshi-Ka-Talab | 31 km (19 mi) |
| 13 | 26 | Jhansi - Lalitpur - Gona up to MP Border | 128 km (80 mi) |
| 14 | 27 | Allahabad - Jasra up to MP Border | 43 km (27 mi) |
| 15 | 28 | From Bihar Border - Tryasujan - Gorakhpur - Basti - Faizabad - Barabanki - Lucknow | 311 km (193 mi) |
| 16 | 28B | From Bihar Border - Padrauna - Kasia - Junction with NH28 | 29 km (18 mi) |
| 17 | 28C | Bara Banki - Ramnagar - Bahraich - Nanpara up to Nepal Border | 140 km (87 mi) |
| 18 | 29 | Sonauli - Farenda - Gorakhpur - Chillupar - Kopaganj - Ghazipur - Saidpur - Varanasi | 360 km (220 mi) |
| 19 | 56 | Lucknow - Amethi - Jagdishpur - Sultanpur - Badlapur - Jaunpur - Varanasi | 285 km (177 mi) |
| 20 | 56A | Chinhat (NH 28) km.16 ( NH 56) | 13 km (8.1 mi) |
| 21 | 56B | km.16 on NH56 to km.19 of NH25. | 19 km (12 mi) |
| 22 | 58 | From Delhi Border - Ghaziabad - Meerut - Muzaffarnagar - Purkazi up to Uttarakhand Border | 165 km (103 mi) |
| 23 | 72A | Chhutmalpur up to Uttarakhand Border. | 30 km (19 mi) |
| 24 | 73 | From Uttarakhand Border - Saharanpur - Sarsawa up to Haryana Border | 60 km (37 mi) |
| 25 | 74 | From Uttarakhand Border - Najibabad - Nagina - Dhampur - Afzalgarh - Uttarakhand Border - Amaria - Jahanabad - Pilibhit - Nawabganj - Bareilly | 147 km (91 mi) |
| 26 | 75 | From Rewa, MP - Karari - Jhansi – Makrar - Maurampur - MP to UP - Renukoot - Dudhinagar - Wyndhamganj - UP to JH - Ranchi | 110 km (68 mi) |
| 27 | 76 | From MP Border - Jhansi - Mauranipur - MP Border - Kulpahar - Mahoba - Banda - Karwi - Mau - Jasra - Allahabad | 488 km (303 mi) |
| 28 | 86 | Kanpur - Ghatampur - Hamirpur - Maudaha - Kabrai - Mahoba - MP Border. | 180 km (110 mi) |
| 29 | 87 | Rampur - Bilaspur | 32 km (20 mi) |
| 30 | 91 | Ghaziabad - Dadri - Sikanderabad - Bulandshahr - Khurja - Amiya - Aligarh - Etah - Chhibramau - Kannauj - Kanpur | 405 km (252 mi) |
| 31 | 91A | The highway starting from its junction with NH 2 near Etawah connecting Bharthana - Bidhuna - Bela and terminating at its junction with NH 91 near Kannauj | 126 km (78 mi) |
| 32 | 92 | Bhongoan - Bewar - Kishni - Etawah - Udi up to Rajasthan Border | 75 km (47 mi) |
| 33 | 93 | Agra - Hathras - Aligarh - Babrala - Chandausi - Bilari - Moradabad | 220 km (140 mi) |
| 34 | 96 | Faizabad - Sultanpur - Bela - Pratapgarh - Soraon - Allahabad | 160 km (99 mi) |
| 35 | 97 | Ghazipur - Zamania - Saiyedraja | 45 km (28 mi) |
| 36 | 119 | The highway starting from its junction with NH 58 near Meerut connecting Mawana - Bahsuma - Bijnor - Kiratpur - Najibabad and up to Uttarakhand border. | 125 km (78 mi) |
| 37 | 231 | Raebareli - partapgarh - Machlishahar - Jaunpur | 169 km (105 mi) |
| 38 | 232 | tanda - sultanpur - gauriganj - raebareli - lalganj - fatehpur - banda | 305 km (190 mi) |
| 39 | 330A | Raebareli - jagdishpur - faizabad | 227 km (141 mi) |
| 40 | 235 | The highway starting from Meerut connecting Hapur , Gulaothi and terminating at Bulandshahar . | 75 km (47 mi) |
| - | - | Total | 6,519 km (4,051 mi) |
