# Simhapuri Express
> Time Table

| Station | Sch. Arrival | Sch. Departure |
| --- | --- | --- |
| Gudur Jn (GDR) | Source | 10:10 PM |
| Vedayapalem (VDE) | 10:29 PM | 10:30 PM |
| Nellore (NLR) | 10:39 PM | 10:40 PM |
| Bitragunta (BTTR) | 11:04 PM | 11:05 PM |
| Kavali (KVZ) | 11:19 PM | 11:20 PM |
| Singarayakonda (SKM) | 11:44 PM | 11:45 PM |
| Ongole (OGL) | 12:14 AM | 12:15 AM |
| Chirala (CLX) | 12:49 AM | 12:50 AM |
| Bapatla (BPP) | 01:04 AM | 01:05 AM |
| Tenali Jn (TEL) | 01:36 AM | 01:37 AM |
| Vijayawada Jn (BZA) | 02:35 AM | 02:45 AM |
| Madhira (MDR) | 03:36 AM | 03:37 AM |
| Khammam (KMT) | 04:05 AM | 04:06 AM |
| Mahbubabad (MABD) | 04:54 AM | 04:55 AM |
| Warangal (WL) | 05:49 AM | 05:50 AM |
| Kazipet Jn (KZJ) | 06:04 AM | 06:05 AM |
| Secunderabad Jn (SC) | 08:35 AM | Destination [3] |
