# Adobe Creative Cloud Applications Catalog (Selected Products)

| Category | Adobe product | Current major release (marketing) | Bundle / family | Primary use (short) |
| --- | --- | --- | --- | --- |
| Video & Motion | After Effects | CC (2024) | Creative Cloud | Motion graphics & VFX compositing |
| Video & Motion | Premiere Pro | CC (2024) | Creative Cloud | Non-linear video editing |
| Video & Motion | Media Encoder | CC (2024) | Creative Cloud | Transcoding & batch export |
| Photo | Photoshop | CC (2024) | Creative Cloud | Raster image editing |
| Photo | Lightroom | CC (2024) | Creative Cloud | Photo management & raw editing |
| Photo | Photoshop Lightroom Classic | CC (2024) | Creative Cloud | Desktop-focused photo workflow |
| Design | Illustrator | CC (2024) | Creative Cloud | Vector illustration |
| Design | InDesign | CC (2024) | Creative Cloud | Page layout & publishing |
| Web & UX | XD | CC (2024) | Creative Cloud | UI/UX design & prototyping |
| PDF & eSign | Acrobat Pro | 2024 | Acrobat / Document Cloud | PDF creation, edit, review |
| Audio | Audition | CC (2024) | Creative Cloud | Audio editing & mixing |
| 3D & Immersive | Substance 3D Painter | 2024 | Substance 3D | 3D texture painting |
| 3D & Immersive | Substance 3D Designer | 2024 | Substance 3D | Material authoring |
| Utilities | Bridge | CC (2024) | Creative Cloud | Asset browsing & management |
