# Food Carbohydrate Percentage Table with GI Mentioned in Footnote (No Clear GI Column)

| Food | Serving Size | Total Carbohydrate (%) | Sugar (%) | Fiber (%) | Comment |
|---|---:|---:|---:|---:|---|
| Watermelon | 1 cup | 7.6 | 6.2 | 0.4 | GI often cited as high, but portion matters |
| White bread | 1 slice | 49.0 | 5.0 | 2.7 | Refined carbs |
| Brown rice, cooked | 1 cup | 23.0 | 0.4 | 1.8 | Whole grain |
| Instant mashed potatoes | 1 cup | 17.0 | 1.5 | 1.6 | Highly processed |
| Corn flakes | 1 cup | 84.0 | 8.0 | 2.0 | Breakfast cereal |
| Banana | 1 medium | 22.8 | 12.2 | 2.6 | Fruit sugars |
| Soda (cola) | 12 oz | 10.6 | 10.6 | 0.0 | Added sugars |
| Ice cream, vanilla | 1/2 cup | 23.0 | 21.0 | 0.0 | Dessert |
| Popcorn, air-popped | 3 cups | 78.0 | 0.2 | 10.7 | Whole grain snack |

*Note: Some sources report glycemic index values for these foods, but this table emphasizes carbohydrate composition rather than GI.*
