# Bottled Water Brand pH Values (Exact Numbers, Comparative List)

| Brand | Source/Style | pH (measured) |
|---|---|---:|
| Perrier | Sparkling mineral water | 5.28 |
| S.Pellegrino | Sparkling mineral water | 5.30 |
| Propell Fitness Water | Flavored/enhanced water | 3.37 |
| Penta | Purified (micro-ionized) | 6.70 |
| Evian | Natural spring water | 7.00 |
| Fiji | Artesian water | 7.00 |
| Absopure (Michigan) | Spring water | 7.48 |
| Scottish National | Mineral water | 7.36 |
| Acqua Panna | Spring water | 8.20 |
