# European countries and legal milestones on capital punishment (country-by-country comparables)

| Country | Current legal position | Scope of abolition | Key milestone (legal act/type) | Year of milestone | Last known execution year | Wartime/exceptional provisions today | Treaty alignment (high-level) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Norway | Abolished | All crimes | Repeal of wartime provisions (criminal law reform) | 1979 | 1948 | No | Aligned with Council of Europe standards |
| Denmark | Abolished | All crimes | Final repeal (including wartime) | 1978 | 1950 | No | Aligned with European human-rights instruments |
| Netherlands | Abolished | All crimes | Final abolition incl. wartime | 1982 | 1952 | No | Aligned with Council of Europe standards |
| Belgium | Abolished | All crimes | Statutory abolition | 1996 | 1950 | No | Aligned with European instruments |
| Switzerland | Abolished | All crimes | Constitutional/penal reforms concluding abolition | 1992 | 1944 | No | Aligned with European instruments |
| Austria | Abolished | All crimes | Statutory abolition | 1968 | 1950 | No | Aligned with Council of Europe standards |
| Czech Republic | Abolished | All crimes | Post-transition criminal law reform | 1990 | 1989 | No | Aligned with European instruments |
| Slovakia | Abolished | All crimes | Post-transition criminal law reform | 1990 | 1989 | No | Aligned with European instruments |
| Hungary | Abolished | All crimes | Constitutional Court decision | 1990 | 1988 | No | Aligned with European instruments |
| Romania | Abolished | All crimes | Constitutional abolition after regime change | 1990 | 1989 | No | Aligned with European instruments |
| Bulgaria | Abolished | All crimes | Statutory abolition | 1998 | 1989 | No | Aligned with European instruments |
| Latvia | Abolished | All crimes | Full abolition (incl. wartime) | 2012 | 1996 | No | Aligned with European instruments |
| Lithuania | Abolished | All crimes | Constitutional Court decision | 1998 | 1995 | No | Aligned with European instruments |
