# U.S. Governor Term-Limit Rules (More States, Consecutive vs. Lifetime Clarified)

| State | Term length | Max terms allowed | Limit type | Re-eligibility condition | Brief rule statement |
| --- | --- | --- | --- | --- | --- |
| Maine | 4 years | 2 terms | Consecutive | Eligible again after a break | May serve two consecutive terms, then must leave office before running again. |
| Maryland | 4 years | 2 terms | Consecutive | Eligible again after a break | Two consecutive terms permitted; future nonconsecutive service allowed. |
| Nevada | 4 years | 2 terms | Lifetime (two terms total) | Not applicable | May not serve more than two terms total as governor. |
| New Jersey | 4 years | 2 terms | Consecutive | Eligible again after a break | Two consecutive terms maximum; can return after sitting out. |
| North Dakota | 4 years | 2 terms | Consecutive | Eligible again after a break | Limited to two consecutive four-year terms. |
| Oklahoma | 4 years | 2 terms (8 years) | Lifetime cap (service-based) | Not applicable | Cannot serve more than eight years total in office (including partial terms). |
| South Carolina | 4 years | 2 terms | Consecutive | Eligible again after a break | Two consecutive terms allowed; additional terms possible after interruption. |
| Utah | 4 years | Unlimited | null | Not applicable | No term-limit restriction for governor. |
| Washington | 4 years | Unlimited | null | Not applicable | No gubernatorial term-limit rule; re-election unlimited. |
