# Demographics of Bulgaria
> Vital statistics

|  | Average population (x 1000) | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death rate (per 1000) | Natural change (per 1000) | Fertility rates |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1941 | 6 711 | 147 293 | 85 011 | 62 282 | 21.9 | 12.7 | 9.3 | 2,80 |
| 1942 | 6 767 | 153 272 | 88 082 | 65 190 | 22.6 | 13.0 | 9.6 | 2,91 |
| 1943 | 6 823 | 148 840 | 88 386 | 60 454 | 21.8 | 13.0 | 8.9 | 2,79 |
| 1944 | 6 879 | 151 013 | 94 082 | 56 931 | 22.0 | 13.7 | 8.3 | 2,83 |
| 1945 | 6 936 | 166 960 | 103 591 | 63 369 | 24.1 | 14.9 | 9.1 | 3,09 |
| 1946 | 6 993 | 179 226 | 95 799 | 83 427 | 25.6 | 13.7 | 11.9 | 3,29 |
| 1947 | 7 048 | 169 501 | 94 395 | 75 106 | 24.0 | 13.4 | 10.7 | 3,06 |
| 1948 | 7 130 | 175 771 | 89 927 | 85 844 | 24.7 | 12.6 | 12.0 | 3,16 |
| 1949 | 7 195 | 177 734 | 84 675 | 93 059 | 24.7 | 11.8 | 12.9 | 3,17 |
| 1950 | 7 251 | 182 571 | 74 134 | 108 437 | 25.2 | 10.2 | 15.0 | 2,94 |
| 1951 | 7 258 | 152 803 | 77 364 | 75 439 | 21.1 | 10.7 | 10.4 | 2,45 |
| 1952 | 7 275 | 154 014 | 84 254 | 69 760 | 21.2 | 11.6 | 9.6 | 2,44 |
| 1953 | 7 346 | 153 220 | 68 055 | 85 165 | 20.9 | 9.3 | 11.6 | 2,41 |
| 1954 | 7 423 | 149 902 | 68 384 | 81 518 | 20.2 | 9.2 | 11.0 | 2,36 |
| 1955 | 7 499 | 150 978 | 67 960 | 83 018 | 20.1 | 9.1 | 11.1 | 2,41 |
| 1956 | 7 576 | 147 910 | 71 153 | 76 757 | 19.5 | 9.4 | 10.1 | 2,36 |
| 1957 | 7 651 | 141 035 | 65 807 | 75 228 | 18.4 | 8.6 | 9.8 | 2,26 |
| 1958 | 7 728 | 138 294 | 60 734 | 77 560 | 17.9 | 7.9 | 10.0 | 2,23 |
| 1959 | 7 798 | 136 892 | 73 850 | 63 042 | 17.6 | 9.5 | 8.1 | 2,23 |
| 1960 | 7 867 | 140 082 | 63 665 | 76 417 | 17.8 | 8.1 | 9.7 | 2,31 |
| 1961 | 7 943 | 137 861 | 62 562 | 75 299 | 17.4 | 7.9 | 9.5 | 2,29 |
| 1962 | 8 013 | 134 148 | 69 640 | 64 508 | 16.7 | 8.7 | 8.1 | 2,24 |
| 1963 | 8 078 | 132 143 | 66 057 | 66 086 | 16.4 | 8.2 | 8.2 | 2,21 |
| 1964 | 8 144 | 130 958 | 64 479 | 66 479 | 16.1 | 7.9 | 8.2 | 2,19 |
| 1965 | 8 201 | 125 791 | 66 970 | 58 821 | 15.3 | 8.2 | 7.2 | 2,09 |
| 1966 | 8 258 | 123 039 | 68 366 | 54 673 | 14.9 | 8.3 | 6.6 | 2,03 |
| 1967 | 8 310 | 124 582 | 74 696 | 49 886 | 15.0 | 9.0 | 6.0 | 2,02 |
| 1968 | 8 370 | 141 460 | 72 176 | 69 284 | 16.9 | 8.6 | 8.3 | 2,27 |
