# RCP-Style Snapshot  National GOP Nomination & Head-to-Head Polling (Most Recent)

| Race/Topic | Pollster | Field Dates | Sample | Results |
| --- | --- | --- | --- | --- |
| 2024 Republican Presidential Nomination (National) | Quinnipiac University | Jan 10-14 | RV | Trump 58, Haley 24, DeSantis 10, Others 8 |
| 2024 Republican Presidential Nomination (National) | YouGov/Economist | Jan 12-15 | RV | Trump 55, Haley 23, DeSantis 12, Others 10 |
| 2024 Republican Presidential Nomination (National) | Morning Consult | Jan 8-14 | RV | Trump 60, Haley 20, DeSantis 9, Ramaswamy 3, Others 8 |
| General Election: Trump vs. Biden (National) | Reuters/Ipsos | Jan 11-16 | RV | Trump 41, Biden 39, Undecided 20 |
| General Election: Haley vs. Biden (National) | Fox News | Jan 9-12 | RV | Haley 47, Biden 46, Undecided 7 |
| Favorability: Donald Trump (National) | CNN/SSRS | Jan 10-13 | US Adults | Fav 42, Unfav 55 |
| Issue: Immigration (National) | Pew Research | Jan 5-11 | US Adults | Approve 33, Disapprove 60 |
| Congressional Generic Ballot (National) | Data for Progress | Jan 9-13 | LV | Democrats 45, Republicans 43 |
| General Election: Trump vs. Biden vs. Kennedy (National) | HarrisX | Jan 7-9 | RV | Trump 39, Biden 38, Kennedy 11 |
| Republican Party Image (National) | Gallup | Jan 2-7 | US Adults | Positive 31, Negative 63 |
