# Public Holidays in Japan (Selected National Holidays, 2016)   Date-based list

| Day | Date | Holiday |
| --- | --- | --- |
| Friday | 01-Jan | New Year's Day |
| Monday | 11-Jan | Coming of Age Day |
| Thursday | 11-Feb | National Foundation Day |
| Wednesday | 23-Mar | Vernal Equinox Day |
| Friday | 29-Apr | Showa Day |
| Tuesday | 03-May | Constitution Memorial Day |
| Wednesday | 04-May | Greenery Day |
| Thursday | 05-May | Children's Day |
| Monday | 18-Jul | Marine Day |
| Thursday | 11-Aug | Mountain Day |
| Monday | 19-Sep | Respect for the Aged Day |
| Monday | 10-Oct | Health and Sports Day |
| Thursday | 03-Nov | Culture Day |
| Wednesday | 23-Nov | Labour Thanksgiving Day |
| Friday | 23-Dec | The Emperor's Birthday |
