# Irish Surnames by Sept and Territory (Gaelic Form Implied by Place Clan)

| Modern Surname (English) | Associated Sept/Clan | Traditional Territory (Barony/Area) | Place-Name Link (Irish) | Notes |
| --- | --- | --- | --- | --- |
| O'Connor | Síol Muireadhaigh | Roscommon/Galway | Magh Luirg (Maigh Luirg) | Multiple branches share the name |
| O'Neill | Uí Néill | Tyrone/Armagh | Tír Eoghain | Strong territorial association |
| O'Donnell | Clann Dálaigh | Donegal | Tír Chonaill | Often tied to Donegal records |
| O'Brien | Dál gCais | Clare/Limerick | Tuamhain (Thomond) | Sept identity used in histories |
| O'Sullivan | Uí Shúilleabháin | Kerry/Cork | Dún Ciaráin | Territory varies by branch |
| MacCarthy | Mac Cárthaigh | Cork/Kerry | Deasmhumhain (Desmond) | Linked to Desmond in annals |
| Fitzgerald | Na Gearaltaigh | Kildare/Munster | Cill Dara (Kildare) | Norman name with Irish territorial ties |
| Burke | de Búrca | Galway/Mayo | Uí Bhriúin Seóla | Often recorded as a clan power |
| Walsh | Breathnach | Wexford/Kilkenny | Loch Garman (Wexford) | Etymology noted rather than form |
| Ryan | Uí Riain | Tipperary | Eile (Ely) | Sept name used in genealogy |
| Flaherty | Uí Fhlaithbheartaigh | Connemara | Iar Chonnacht | Common in western records |
| Daly | Ó Dálaigh | Westmeath/Donegal | Corca Adhamh | Spread across multiple regions |
