# Minor League Baseball Teams in the Midwest by State (Selected Clubs)

| State | City | Team | MiLB Level | Home Ballpark |
| --- | --- | --- | --- | --- |
| Illinois | Chicago | Chicago Dogs | Independent (Partner League) | Impact Field |
| Illinois | Schaumburg | Schaumburg Boomers | Independent (Frontier League) | Wintrust Field |
| Indiana | Indianapolis | Indianapolis Indians | Triple-A | Victory Field |
| Indiana | Fort Wayne | Fort Wayne TinCaps | High-A | Parkview Field |
| Iowa | Des Moines | Iowa Cubs | Triple-A | Principal Park |
| Iowa | Cedar Rapids | Cedar Rapids Kernels | High-A | Veterans Memorial Stadium |
| Michigan | Grand Rapids | West Michigan Whitecaps | High-A | LMCU Ballpark |
| Michigan | Lansing | Lansing Lugnuts | High-A | Jackson Field |
| Minnesota | St. Paul | St. Paul Saints | Triple-A | CHS Field |
| Minnesota | Rochester | Rochester Honkers | Summer collegiate (Northwoods League) | Mayo Field |
| Missouri | Springfield | Springfield Cardinals | Double-A | Hammons Field |
| Missouri | Kansas City | Kansas City Monarchs | Independent (American Association) | Legends Field |
| Wisconsin | Appleton | Wisconsin Timber Rattlers | High-A | Neuroscience Group Field at Fox Cities Stadium |
| Wisconsin | Beloit | Beloit Sky Carp | High-A | ABC Supply Stadium |
