# Blocked or Frequently Restricted Developer, Media, and Cloud Platforms in Mainland China (Practical Site List)

| Website / Service | Domain | Example URL | Category | Typical Use |
| --- | --- | --- | --- | --- |
| GitHub | github.com | https://github.com | Developer Platform | Code hosting, collaboration |
| GitHub Gist | gist.github.com | https://gist.github.com | Developer Platform | Snippets/paste |
| GitLab (SaaS) | gitlab.com | https://gitlab.com | Developer Platform | CI/CD, repositories |
| Bitbucket Cloud | bitbucket.org | https://bitbucket.org | Developer Platform | Repositories, teams |
| Docker Hub | docker.com | https://hub.docker.com | Developer Platform | Container images |
| Medium | medium.com | https://medium.com | Publishing | Blogs/articles |
| BBC News | bbc.com | https://www.bbc.com/news | News | International news |
| The New York Times | nytimes.com | https://www.nytimes.com | News | International news |
| Bloomberg | bloomberg.com | https://www.bloomberg.com | News/Finance | Markets/business |
| Dropbox | dropbox.com | https://www.dropbox.com | Cloud Storage | File sync/sharing |
| Google Play | play.google.com | https://play.google.com | App Store | Android app distribution |
| Twitch | twitch.tv | https://www.twitch.tv | Live Streaming | Gaming/streams |
