# Garden Plants with Deer Resistance Ratings (No Pest Outcomes Listed)

| Plant (Common Name) | Latin Name | Plant Type | Deer Resistance Rating | Notes |
| --- | --- | --- | --- | --- |
| Lavender | Lavandula angustifolia | Perennial | A | Aromatic foliage |
| Rosemary | Salvia rosmarinus | Shrub/Herb | A | Evergreen in mild climates |
| Boxwood | Buxus sempervirens | Shrub | A | Common hedge plant |
| Yarrow | Achillea millefolium | Perennial | B | Drought tolerant |
| Coneflower | Echinacea purpurea | Perennial | B | Pollinator plant |
| Daylily | Hemerocallis spp. | Perennial | C | Variable resistance |
| Hosta | Hosta spp. | Perennial | D | Often browsed |
| Tulip | Tulipa spp. | Bulb | D | Often browsed |
| Pansy | Viola × wittrockiana | Annual | C | Cool-season color |
