# ACT ( test )
> Score cumulative percentages and comparison with SAT

| Subtest | Score | The percentile of students at or below this score |
| --- | --- | --- |
| E | 36 | 99% |
| E | 35 | 99% |
| E | 34 | 99% |
| E | 33 | 97% |
| E | 32 | 96% |
| E | 31 | 94% |
| E | 30 | 93% |
| E | 29 | 91% |
| E | 28 | 88% |
| E | 27 | 85% |
| E | 26 | 82% |
| E | 25 | 78% |
| E | 24 | 73% |
| E | 23 | 68% |
| E | 22 | 63% |
| E | 21 | 57% |
| E | 20 | 50% |
| E | 19 | 43% |
| E | 18 | 38% |
| E | 17 | 33% |
| E | 16 | 29% |
| E | 15 | 24% |
| E | 14 | 18% |
| E | 13 | 14% |
| E | 12 | 11% |
| E | 11 | 9% |
| M | 36 | 99% |
| M | 35 | 99% |
| M | 34 | 99% |
| M | 33 | 98% |
| M | 32 | 97% |
| M | 31 | 96% |
| M | 30 | 94% |
| M | 29 | 93% |
| M | 28 | 91% |
| M | 27 | 88% |
| M | 26 | 84% |
| M | 25 | 79% |
| M | 24 | 74% |
| M | 23 | 67% |
| M | 22 | 61% |
| M | 21 | 57% |
| M | 20 | 52% |
| M | 19 | 47% |
| M | 18 | 41% |
| M | 17 | 34% |
| M | 16 | 26% |
| M | 15 | 14% |
| M | 14 | 6% |
| M | 13 | 2% |
| M | 12 | 1% |
| M | 11 | 1% |
| R | 36 | 99% |
| R | 35 | 99% |
| R | 34 | 99% |
| R | 33 | 97% |
| R | 32 | 95% |
| R | 31 | 93% |
| R | 30 | 91% |
| R | 29 | 87% |
| R | 28 | 85% |
| R | 27 | 82% |
| R | 26 | 78% |
| R | 25 | 75% |
| R | 24 | 71% |
| R | 23 | 66% |
| R | 22 | 60% |
| R | 21 | 54% |
| R | 20 | 48% |
| R | 19 | 42% |
| R | 18 | 39% |
| R | 17 | 30% |
| R | 16 | 25% |
| R | 15 | 19% |
| R | 14 | 15% |
| R | 13 | 10% |
| R | 12 | 6% |
| R | 11 | 3% |
| S | 36 | 99% |
| S | 35 | 99% |
| S | 34 | 99% |
| S | 33 | 99% |
| S | 32 | 98% |
| S | 31 | 97% |
| S | 30 | 96% |
| S | 29 | 95% |
| S | 28 | 93% |
| S | 27 | 91% |
| S | 26 | 87% |
| S | 25 | 83% |
| S | 24 | 77% |
| S | 23 | 70% |
| S | 22 | 62% |
| S | 21 | 56% |
| S | 20 | 47% |
| S | 19 | 38% |
| S | 18 | 34% |
| S | 17 | 21% |
| S | 16 | 19% |
| S | 15 | 15% |
| S | 14 | 11% |
| S | 13 | 8% |
| S | 12 | 5% |
| S | 11 | 3% |
