# Long-Term Sovereign Credit Ratings by Agency (S&P, Moody's, Fitch) — Selected Countries

| Country | S&P (Long-Term FC) | Moody's (Long-Term) | Fitch (Long-Term) | Notes |
|---|---|---|---|---|
| Germany | AAA | Aaa | AAA | All three aligned at top tier |
| France | AA- | Aa2 | AA- | Moody's one notch higher than S&P/Fitch |
| Italy | BBB | Baa3 | BBB | Moody's one notch lower than S&P/Fitch |
| Spain | A- | Baa1 | A- | Moody's lower vs S&P/Fitch |
| Japan | A+ | A1 | A | Fitch lower than S&P/Moody's |
| United States | AA+ | Aaa | AA+ | Moody's higher than S&P/Fitch |
| Canada | AAA | Aaa | AA+ | Fitch one notch lower |
| Brazil | BB | Ba2 | BB | Alignment across agencies |
| Mexico | BBB- | Baa2 | BBB- | Moody's higher vs S&P/Fitch |
| South Africa | BB- | Ba2 | BB- | Moody's higher vs S&P/Fitch |
