# Most Popular Wine Grapes and Their Common Flavor Profiles (Ranked)

| Popularity Rank | Grape/Varietal | Typical Flavor Notes | Common Regions |
|---:|---|---|---|
| 1 | Cabernet Sauvignon | Blackcurrant, cedar, mint | Napa, Bordeaux, Chile |
| 2 | Merlot | Plum, chocolate, blackberry | Bordeaux, Washington, Italy |
| 3 | Chardonnay | Apple, citrus, butter | Burgundy, California, Australia |
| 4 | Pinot Noir | Cherry, raspberry, mushroom | Burgundy, Oregon, NZ |
| 5 | Sauvignon Blanc | Grapefruit, grass, passionfruit | Loire, Marlborough, Chile |
| 6 | Syrah/Shiraz | Pepper, blackberry, smoke | Rhône, Barossa, South Africa |
| 7 | Riesling | Lime, jasmine, petrol | Mosel, Alsace, Clare |
| 8 | Malbec | Violet, dark plum, cocoa | Mendoza, Cahors |
| 9 | Sangiovese | Tart cherry, herbs, leather | Tuscany |
| 10 | Tempranillo | Strawberry, tobacco, dill | Rioja, Ribera del Duero |
