# Micallef Tonight
> Episodes

| Ep# | Airdate | Guest Stars |
| --- | --- | --- |
| 01 | 12 May 2003 | Barry Humphries , Kath & Kim , Jamie Durie , Dannii Minogue , Sigrid Thornton , $10.90 Chicken Parmigiana |
| 02 | 19 May 2003 | Gary Sweet , Bridie Carter , Gérard Depardieu , Shakaya |
| 03 | 26 May 2003 | Alison Whyte , Shane Warne , David Campbell |
| 04 | 2 June 2003 | Jimeoin , Melissa George , Erik Thomson , The Whitlams , Jose Feliciano , $10.90 Chicken Parmigiana |
| 05 | 9 June 2003 | Judith Lucy , Matt Welsh , Warren & Gavin ( The Block ), Percy Sledge , Kerri-Anne Kennerley |
| 06 | 16 June 2003 | Delta Goodrem , Ben Elton , George Gregan , Matt Welsh |
| 07 | 23 June 2003 | Caroline Craig , John McEnroe , Amiel , Shane Crawford , Rhonda Burchmore |
| 08 | 30 June 2003 | Dave Hughes , Anthony LaPaglia , Birtles Shorrock Goble , |
| 09 | 7 July 2003 | Craig David , Marcus Graham , Nicole Livingstone , David Bridie |
| 10 | 14 July 2003 | Mick Molloy , Bob Franklin , Judith Lucy , Amity Dry , Blair McDonough |
| 11 | 21 July 2003 | Michael McKean , Seann William Scott , Todd Woodbridge , Placebo , Simon Tedeschi , Dave Graney , Clare Moore , Bad Eggs Orchestra |
| 12 | 28 July 2003 | Clive James , Tony Martin , The Superjesus , |
| 13 | 4 August 2003 | Ricky Martin , Keith Urban , Dave O'Neil , The Dandy Warhols |
