# Bond credit rating
> Default rates

| Year | AAA | AA+ | AA | AA- | A+ | A | A- | BBB+ | BBB | BBB- | BB+ | BB | BB- | B+ | B | B- | CCC to C |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1993 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 6.25 |  | 0 |
| 1994 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1.85 | 0 | 0 |
| 1995 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.43 | 0 | 0 | 0.98 | 0 | 0 | 0.95 | 0 | 52.63 |
| 1996 | 0 | 0 | 0 | 0 | 0 | 0.15 | 0 | 0 | 0 | 0 | 0 | 0.61 | 12.50 |  | 0 | 0 | 31.03 |
| 1997 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 20.69 |
| 1998 | 0 | 0 | 0 | 0 | 0 | 1.04 | 0.91 | 0 | 0.19 | 0 | 0 | 1.03 | 0 | 0 | 2.34 | 0 | 22.58 |
| 1999 | 0 | 0 | 0 | 0 | 0 | 0 | 0.77 | 0 | 0 | 0.39 | 0 | 0 | 0 | 0 | 1.54 | 0 | 19.35 |
| 2000 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.11 | 0 | 0 | 0.61 | 0 | 0 | 2.19 | 0 | 5.26 |
| 2001 | 0.05 | 0 | 0 | 0 | 0 | 0.12 | 0 | 2.22 | 0 | 0.86 | 0.83 | 0.55 | 0.91 | 2.00 | 2.69 | 3.27 | 26.87 |
| 2002 | 0 | 0 | 0.06 | 0 | 0.27 | 0.14 | 0 | 1.77 | 0.19 | 0.70 | 1.26 | 2.03 | 1.12 | 2.50 | 3.60 | 23.24 | 27.03 |
| 2003 | 0 | 0 | 0 | 0 | 0.19 | 0.03 | 0.16 | 0.20 | 0.60 | 0.50 | 0.75 | 0.84 | 1.43 | 3.28 | 1.64 | 5.15 | 32.58 |
| 2004 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.16 | 0.17 | 0.50 | 0.81 | 0.29 | 0.79 | 2.23 | 3.56 | 13.79 |
| 2005 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.08 | 0.06 | 0.15 | 0.14 | 0.45 | 0.33 | 1.34 | 2.53 | 16.08 |
| 2006 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0.06 | 0.20 | 0 | 0.33 | 0.36 | 0.26 | 0.36 | 1.42 | 19.18 |
| 2007 | 0.04 | 0.03 | 0.07 | 0.08 | 0 | 0.10 | 0.21 | 0.48 | 0.47 | 1.27 | 5.07 | 1.61 | 1.53 | 0.68 | 1.55 | 1.47 | 24.11 |
| 2008 | 0.53 | 0.35 | 0.57 | 1.15 | 1.15 | 0.87 | 1.42 | 2.27 | 1.26 | 3.45 | 5.60 | 4.21 | 5.07 | 8.53 | 12.84 | 10.28 | 56.92 |
