# List of Stargate SG-1 episodes
> Television series

| No. in series | No. in season | Title | Directed by | Written by | Original air date |
| --- | --- | --- | --- | --- | --- |
| 1 2 | 1 2 | " Children of the Gods " | Mario Azzopardi | Excerpts Starring: Peter Williams Written By: Jonathan Glassner & Brad Wright | July 27, 1997 ( 1997-07-27 ) ( Showtime ) |
| 3 | 3 | "The Enemy Within" | Dennis Berry | Brad Wright | August 1, 1997 ( 1997-08-01 ) (Showtime) |
| 4 | 4 | "Emancipation" | Jeff Woolnough | Katharyn Powers | August 8, 1997 ( 1997-08-08 ) (Showtime) |
| 5 | 5 | "The Broca Divide" | William Gereghty | Jonathan Glassner | August 15, 1997 ( 1997-08-15 ) (Showtime) |
| 6 | 6 | "The First Commandment" | Dennis Berry | Robert C. Cooper | August 22, 1997 ( 1997-08-22 ) (Showtime) |
| 7 | 7 | "Cold Lazarus" | Kenneth J. Girotti | Excerpts Starring: Harley Jane Kozak Written by: Jeff F. King | August 29, 1997 ( 1997-08-29 ) (Showtime) |
| 8 | 8 | "The Nox" | Charles Correll | Excerpts Starring: Peter Williams, Armin Shimerman, Frida Betrani Written by: Hart Hanson | September 12, 1997 ( 1997-09-12 ) (Showtime) |
| 9 | 9 | "Brief Candle" | Mario Azzopardi | Story: Steven Barnes Teleplay: Katharyn Powers | September 19, 1997 ( 1997-09-19 ) (Showtime) |
| 10 | 10 | "Thor's Hammer" | Brad Turner | Katharyn Powers | September 26, 1997 ( 1997-09-26 ) (Showtime) |
| 11 | 11 | "The Torment of Tantalus" | Jonathan Glassner | Excerpts Starring: Elizabeth Hoffman, Keene Curtis Written by: Robert C. Cooper | October 3, 1997 ( 1997-10-03 ) (Showtime) |
| 12 | 12 | "Bloodlines" | Mario Azzopardi | Story: Mark Saraceni Teleplay: Jeff F. King | October 10, 1997 ( 1997-10-10 ) (Showtime) |
| 13 | 13 | "Fire and Water" | Allan Eastman | Story: Brad Wright & Katharyn Powers Teleplay: Katharyn Powers | October 17, 1997 ( 1997-10-17 ) (Showtime) |
| 14 | 14 | "Hathor" | Brad Turner | Story: David Bennett Carren & J. Larry Carroll Teleplay: Jonathan Glassner | October 24, 1997 ( 1997-10-24 ) (Showtime) |
| 15 | 15 | "Singularity" | Mario Azzopardi | Robert C. Cooper | October 31, 1997 ( 1997-10-31 ) (Showtime) |
| 16 | 16 | "Cor-Ai" | Mario Azzopardi | Tom J. Astle | January 23, 1998 ( 1998-01-23 ) (Showtime) |
| 17 | 17 | "Enigma" | William Gereghty | Katharyn Powers | January 30, 1998 ( 1998-01-30 ) (Showtime) |
| 18 | 18 | "Solitudes" | Martin Wood | Brad Wright | February 6, 1998 ( 1998-02-06 ) (Showtime) |
| 19 | 19 | "Tin Man" | Jimmy Kaufman | Jeff F. King | February 13, 1998 ( 1998-02-13 ) (Showtime) |
| 20 | 20 | " There But for the Grace of God " | David Warry-Smith | Story: David Kemper Teleplay: Robert C. Cooper | February 20, 1998 ( 1998-02-20 ) (Showtime) |
| 21 | 21 | " Politics " | Martin Wood | Excerpts by: Jonathan Glassner & Brad Wright, Hart Hanson, Jeff F. King, Robert C. Cooper, Steven Barnes, Katharyn Powers Uncredited excerpt: Roland Emmerich Written By: Brad Wright | February 27, 1998 ( 1998-02-27 ) (Showtime) |
| 22 | 22 | " Within the Serpent's Grasp " | David Warry-Smith | Story: James Crocker Excerpts Starring: Peter Williams, Alexis Cruz Teleplay: Jonathan Glassner | March 6, 1998 ( 1998-03-06 ) (Showtime) |
