# Riverview Academy Term Dates and Holiday Starts (2024–2025)

| Period | First Day | Notes |
| --- | --- | --- |
| Autumn Term (Part 1) | Monday 2 September 2024 | Teaching begins for all year groups |
| Autumn Half Term Break | Monday 21 October 2024 | School closed from this date |
| Autumn Term (Part 2) | Monday 28 October 2024 | Pupils return |
| Christmas Break | Friday 20 December 2024 | Break starts after morning dismissal |
| Spring Term (Part 1) | Monday 6 January 2025 | First day back |
| Spring Half Term Break | Monday 17 February 2025 | Mid-term break begins |
| Spring Term (Part 2) | Monday 24 February 2025 | Classes resume |
| Easter Break | Monday 7 April 2025 | Holiday period begins |
| Summer Term (Part 1) | Monday 28 April 2025 | Start of summer teaching block |
| Summer Half Term Break | Monday 26 May 2025 | Break begins |
| Summer Term (Part 2) | Monday 2 June 2025 | Final teaching block begins |
| Summer Break | Monday 21 July 2025 | Start of summer holidays |
