# Lucknow Areas with PIN Codes (Includes Nearby Cities in Same District)

| City | Locality/Area | PIN Code | State |
| --- | --- | --- | --- |
| Lucknow | Alambagh | 226005 | Uttar Pradesh |
| Lucknow | Aishbagh | 226004 | Uttar Pradesh |
| Lucknow | Gomti Nagar | 226010 | Uttar Pradesh |
| Lucknow | Indira Nagar | 226016 | Uttar Pradesh |
| Barabanki | Civil Lines | 225001 | Uttar Pradesh |
| Barabanki | Dewa Road | 225301 | Uttar Pradesh |
| Unnao | Unnao G.P.O. | 209801 | Uttar Pradesh |
| Unnao | Shuklaganj | 209861 | Uttar Pradesh |
| Sitapur | Sitapur H.O. | 261001 | Uttar Pradesh |
| Sitapur | Maholi | 261141 | Uttar Pradesh |
