# Wolverhampton Grammar School Term Dates and Holidays 2016-2017

| Term / Holiday | Start Date | End Date |
| --- | --- | --- |
| Autumn Term | Monday, 5 September 2016 | Friday, 21 October 2016 |
| Autumn Half Term | Saturday, 22 October 2016 | Sunday, 30 October 2016 |
| Autumn Term (continued) | Monday, 31 October 2016 | Friday, 16 December 2016 |
| Christmas Holidays | Saturday, 17 December 2016 | Tuesday, 3 January 2017 |
| Spring Term | Wednesday, 4 January 2017 | Friday, 10 February 2017 |
| Spring Half Term | Saturday, 11 February 2017 | Sunday, 19 February 2017 |
| Spring Term (continued) | Monday, 20 February 2017 | Friday, 31 March 2017 |
| Easter Holidays | Saturday, 1 April 2017 | Sunday, 16 April 2017 |
| Summer Term | Monday, 17 April 2017 | Friday, 26 May 2017 |
| Summer Half Term | Saturday, 27 May 2017 | Sunday, 4 June 2017 |
| Summer Term (continued) | Monday, 5 June 2017 | Friday, 7 July 2017 |
| Summer Holidays | Saturday, 8 July 2017 | Sunday, 3 September 2017 |
