# Variety Talk Show — Full Cast & Crew (Years Only, Episode Counts Omitted)

| Name | Department | Job / On-screen Credit | Years Active |
|---|---|---|---|
| Jordan Kline | Cast | Self — Host | 2018–2024 |
| Priya Desai | Cast | Self — Co-host | 2020–2024 |
| Mason Reed | Cast | Self — Band Leader | 2019–2024 |
| Talia Grant | Crew | Executive Producer | 2018–2024 |
| Hugo Fernández | Crew | Director | 2018–2022 |
| Erin Walsh | Crew | Segment Producer | 2021–2024 |
| Keiko Yamamoto | Crew | Casting (Guests) | 2019–2024 |
| Darnell Price | Crew | Head Writer | 2020–2023 |
| Sofia Novak | Crew | Editor | 2018–2024 |
