# Fiji Airways destinations
> Destinations

| Country | City | Airport Name | Notes | Refs |
| --- | --- | --- | --- | --- |
| Australia | Brisbane | Brisbane Airport |  | [1] |
| Australia | Melbourne | Melbourne Airport |  | [1] |
| Australia | Sydney | Sydney Airport |  | [1] |
| People's Republic of China | Hong Kong | Hong Kong International Airport |  | [1] |
| Fiji | Nadi | Nadi International Airport | Hub | [1] |
| Fiji | Suva | Nausori International Airport | Secondary Hub | [1] |
| Kiribati | Tarawa | Bonriki International Airport |  | [1] |
| Kiribati | Kiritimati | Cassidy International Airport |  | [1] |
| New Zealand | Auckland | Auckland Airport |  | [1] |
| New Zealand | Christchurch | Christchurch International Airport |  | [1] |
| New Zealand | Wellington | Wellington International Airport |  | [2] |
| Samoa | Apia | Faleolo Airport |  | [1] |
| Singapore | Singapore | Singapore Changi Airport |  | [3] [4] |
| Solomon Islands | Honiara | Honiara International Airport |  | [1] |
| Tonga | Neiafu | Vavaʻu International Airport |  | [1] |
| Tonga | Nukuʻalofa | Fuaʻamotu International Airport |  | [1] |
| Tuvalu | Funafuti | Funafuti International Airport |  | [1] |
| United States | Honolulu | Honolulu International Airport |  | [1] |
| United States | Los Angeles | Los Angeles International Airport |  | [1] |
| United States | San Francisco | San Francisco International Airport | Seasonal | [5] |
| Vanuatu | Port Vila | Bauerfield Airport |  | [1] |
