# Nissan GT - R
> Statistics by US model year ( manufacturer claimed )

| US Model Year | Horsepower | Torque (lb-ft) | 0–60 MPH | 1/4 Mile | Nurburgring Lap Time |
| --- | --- | --- | --- | --- | --- |
| 2009 | 480 | 430 | 3.5 | 11.9 | 7:26.70 |
| 2010 | 485 | 430 | 3.3 | 11.8 | TBD |
| 2011 | 485 | 434 | 3.2 | 11.6 | 7.24.22 |
| 2012 | 530 | 448 | 2.8 | 11.2 | TBD |
| 2013 | 545 | 463 | 2.7 | 11.0 | 7:18.06 |
| 2014 | 545 | 463 | 2.7 | 11.0 | TBD |
| 2015 [132] | 545 | 463 | 2.7 | 11.0 | TBD |
| 2015 Nismo | 600 | 481 [133] | 2.7 | 11.0 | 7:08.679 |
| 2016 | 545 | 463 | 2.7 | N/A | TBD |
| 2017 | 565 | 467 | TBD | N/A | TBD |
