# FIFA World Cup 2022 - CONMEBOL Qualifying Table

| Rank | Team | Pld | W | D | L | GF | GA | GD | Pts |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1 | Brazil | 17 | 14 | 3 | 0 | 40 | 5 | +35 | 45 |
| 2 | Argentina | 17 | 11 | 6 | 0 | 27 | 8 | +19 | 39 |
| 3 | Uruguay | 18 | 8 | 4 | 6 | 22 | 22 | 0 | 28 |
| 4 | Ecuador | 18 | 7 | 5 | 6 | 27 | 19 | +8 | 26 |
| 5 | Peru | 18 | 7 | 3 | 8 | 19 | 22 | −3 | 24 |
| 6 | Colombia | 18 | 5 | 8 | 5 | 20 | 19 | +1 | 23 |
| 7 | Chile | 18 | 5 | 4 | 9 | 19 | 26 | −7 | 19 |
| 8 | Paraguay | 18 | 3 | 7 | 8 | 12 | 26 | −14 | 16 |
| 9 | Bolivia | 18 | 4 | 3 | 11 | 23 | 42 | −19 | 15 |
| 10 | Venezuela | 18 | 3 | 1 | 14 | 10 | 34 | −24 | 10 |
