# 2016 NFL Draft Top 100 Prospects — Mixed Positions Snapshot

| Rank | Player | Pos | Notes |
|---:|---|---|---|
| 12 | Shaq Lawson | EDGE | Pass-rush traits |
| 18 | Laquon Treadwell | WR | Contested-catch |
| 24 | Derrick Henry | RB | Power back |
| 29 | Karl Joseph | S | Range/instincts |
| 33 | Darron Lee | LB | Speed linebacker |
| 41 | William Jackson III | CB | Man coverage |
| 53 | Chris Jones | DT | Interior disruptor |
| 65 | Kenneth Dixon | RB | Elusive runner |
| 72 | Cody Whitehair | G | Versatility |
| 88 | Austin Hooper | TE | Receiving upside |
