# Confederate States of America  Member States, Secession Dates, and Slave Status

| Confederate State | Secession Date | Admitted to CSA | Slave State (1860) | Enslaved Population (1860, approx.) | Notes |
|---|---|---|---|---:|---|
| South Carolina | Dec 20, 1860 | Feb 4, 1861 | Yes | 402,000 | First to secede |
| Mississippi | Jan 9, 1861 | Feb 4, 1861 | Yes | 437,000 | Secession ordinance cited slavery |
| Florida | Jan 10, 1861 | Feb 4, 1861 | Yes | 62,000 | Early Gulf secession |
| Alabama | Jan 11, 1861 | Feb 4, 1861 | Yes | 435,000 | Confederate capital at Montgomery initially |
| Georgia | Jan 19, 1861 | Feb 4, 1861 | Yes | 462,000 | Large enslaved population |
| Louisiana | Jan 26, 1861 | Feb 4, 1861 | Yes | 331,000 | Major port at New Orleans |
| Texas | Feb 1, 1861 | Mar 2, 1861 | Yes | 182,000 | Joined after referendum |
| Virginia | Apr 17, 1861 | May 7, 1861 | Yes | 490,000 | Richmond became capital |
| Arkansas | May 6, 1861 | May 18, 1861 | Yes | 111,000 | Upper South secession |
| North Carolina | May 20, 1861 | May 20, 1861 | Yes | 331,000 | Largest Confederate state by population |
| Tennessee | Jun 8, 1861 | Jul 2, 1861 | Yes | 275,000 | Joined after referendum |
| Missouri (claim) | Oct 31, 1861 | Nov 28, 1861 | Slave | 115,000 | Confederate claim; Union control significant |
| Kentucky (claim) | Dec 10, 1861 | Dec 10, 1861 | Slave | 225,000 | Confederate claim; Union control significant |
