# Landlocked Sovereign States by Continent World Region (Selected Examples)

| Continent/World Region | Country | Subregion (UN-style) | Notes |
| --- | --- | --- | --- |
| Africa | Botswana | Southern Africa | Landlocked; bordered by South Africa, Namibia, Zimbabwe, Zambia |
| Africa | Chad | Middle Africa | Landlocked; part of the Sahel |
| Africa | Ethiopia | Eastern Africa | Landlocked since 1993 (loss of Eritrean coastline) |
| Africa | Mali | Western Africa | Landlocked; Niger River provides inland transport |
| Africa | Niger | Western Africa | Landlocked; largely Sahara/Sahel |
| Europe | Austria | Central Europe | Landlocked; Alpine country |
| Europe | Czechia | Central Europe | Landlocked; formerly part of Czechoslovakia |
| Europe | Hungary | Central Europe | Landlocked; Danube River crosses the country |
| Asia | Afghanistan | Southern Asia | Landlocked; mountainous terrain |
| Asia | Kazakhstan | Central Asia | Landlocked; has Caspian Sea coastline (inland sea) |
| Asia | Laos | South-Eastern Asia | Landlocked; Mekong River corridor |
| South America | Bolivia | South America | Landlocked; claims access to the Pacific historically |
