# Spine MRI CPT Codes  Region-Specific Codes and Typical Ordering Variants

| Category | MRI Spine Exam Variant | CPT Code | Contrast Designation |
|---|---|---:|---|
| Cervical Spine | Cervical spine MRI (routine) | 72141 | Without contrast |
| Cervical Spine | Cervical spine MRI (enhanced) | 72142 | With contrast |
| Cervical Spine | Cervical spine MRI (pre & post) | 72156 | With & without contrast |
| Thoracic Spine | Thoracic spine MRI (routine) | 72146 | Without contrast |
| Thoracic Spine | Thoracic spine MRI (enhanced) | 72147 | With contrast |
| Thoracic Spine | Thoracic spine MRI (pre & post) | 72157 | With & without contrast |
| Lumbar Spine | Lumbar spine MRI (routine) | 72148 | Without contrast |
| Lumbar Spine | Lumbar spine MRI (enhanced) | 72149 | With contrast |
| Lumbar Spine | Lumbar spine MRI (pre & post) | 72158 | With & without contrast |
| Sacrum/Coccyx | MRI sacrum/coccyx | 72195 | Without contrast |
| Sacrum/Coccyx | MRI sacrum/coccyx (enhanced) | 72196 | With contrast |
| Sacrum/Coccyx | MRI sacrum/coccyx (pre & post) | 72197 | With & without contrast |
