# Crochet Hook and Knitting Needle Size Equivalents (Mixed Reference Chart)

| Metric (mm) | US Knitting Needle | UK Knitting Needle | US Crochet Hook (letter/number) | UK Crochet Hook | Notes |
|---:|---:|---:|---|---|---|
| 2.75 | 2 | 12 | C/2 | 13 | Fine gauge |
| 3.00 | 2.5 | 11 | — | 11 | Needle number varies by brand |
| 3.25 | 3 | 10 | D/3 | 10 | Often paired with DK yarn |
| 3.50 | 4 | 9 | E/4 | 9 | Common for light worsted |
| 3.75 | 5 | 9 | F/5 | 8 | Crochet letter is approximate |
| 4.00 | 6 | 8 | G/6 | 8 | Widely used size |
| 4.50 | 7 | 7 | 7 | 7 | UK crochet uses numbers |
| 5.00 | 8 | 6 | H/8 | 6 | Medium gauge |
| 5.50 | 9 | 5 | I/9 | 5 | Some charts label crochet as 9 |
| 6.00 | 10 | 4 | J/10 | 4 | Also seen as 6.0mm |
| 6.50 | 10.5 | 3 | K/10.5 | 3 | Larger accessories |
| 7.00 | — | 2 | — | 2 | Needle-only row included |
| 8.00 | 11 | 0 | L/11 | 0 | Bulky yarn work |
