# Best-selling home video game consoles (selected platforms, lifetime unit sales)

| Rank | Console (hardware platform) | Manufacturer | Type | Units sold (million) | Notes |
|---:|---|---|---|---:|---|
| 1 | PlayStation 2 | Sony | Home console | 155.0 | Highest-selling home console overall |
| 2 | Nintendo Switch | Nintendo | Hybrid | 139.0 | Includes handheld mode sales |
| 3 | Wii | Nintendo | Home console | 101.6 | Strong casual-market era |
| 4 | PlayStation 4 | Sony | Home console | 117.2 | Late-life sales boosted by major exclusives |
| 5 | PlayStation | Sony | Home console | 102.5 | 5th-gen leader |
| 6 | Xbox 360 | Microsoft | Home console | 85.8 | Peak during HD-console transition |
| 7 | PlayStation 3 | Sony | Home console | 87.4 | Long lifecycle, late surge |
| 8 | NES | Nintendo | Home console | 61.9 | Early mass-market breakout |
| 9 | SNES | Nintendo | Home console | 49.1 | Strong first-party catalog |
| 10 | Xbox One | Microsoft | Home console | 58.0 | Estimate varies by source |
