# National Football League Coach of the Year Award
> Maxwell Football Club NFL Coach of the Year

| Year | NFC Coach | Team |
| --- | --- | --- |
| 2013 | Chip Kelly | Philadelphia Eagles |
| 2012 | Chuck Pagano / Bruce Arians [2] | Indianapolis Colts |
| 2011 | Mike McCarthy [3] | Green Bay Packers |
| 2010 | Andy Reid | Philadelphia Eagles |
| 2009 | Sean Payton | New Orleans Saints |
| 2008 | Jeff Fisher | Tennessee Titans |
| 2007 | Bill Belichick | New England Patriots |
| 2006 | Sean Payton | New Orleans Saints |
| 2005 | Tony Dungy | Indianapolis Colts |
| 2004 | Marty Schottenheimer | San Diego Chargers |
| 2003 | Dick Vermeil | Kansas City Chiefs |
| 2002 | Andy Reid | Philadelphia Eagles |
| 2001 | Dick Jauron | Chicago Bears |
| 2000 | Andy Reid | Philadelphia Eagles |
| 1999 | Dick Vermeil | St. Louis Rams |
| 1998 | Dennis Green | Minnesota Vikings |
| 1997 | Tony Dungy | Tampa Bay Buccaneers |
| 1996 | Dom Capers | Carolina Panthers |
| 1995 | Ray Rhodes | Philadelphia Eagles |
| 1994 | Bill Parcells | New England Patriots |
| 1993 | Dan Reeves | New York Giants |
| 1992 | Bobby Ross | San Diego Chargers |
| 1991 | Wayne Fontes | Detroit Lions |
| 1990 | Art Shell | Los Angeles Raiders |
| 1989 | Chuck Noll | Pittsburgh Steelers |
