# Most Popular Baby Names (All-Time U.S. Aggregate Rankings)

| Rank | Girls | Boys | Notes |
|---:|---|---|---|
| 1 | Mary | James | Combined historical total (no single year) |
| 2 | Patricia | John | Lifetime aggregate |
| 3 | Jennifer | Robert | Lifetime aggregate |
| 4 | Linda | Michael | Lifetime aggregate |
| 5 | Elizabeth | William | Lifetime aggregate |
| 6 | Susan | David | Lifetime aggregate |
| 7 | Jessica | Richard | Lifetime aggregate |
| 8 | Sarah | Joseph | Lifetime aggregate |
| 9 | Karen | Thomas | Lifetime aggregate |
| 10 | Nancy | Charles | Lifetime aggregate |
