# Ricky Williams
> Professional career

| Year | Team | Games | Receptions | Yards | Yards per Reception | Longest Reception | Touchdowns | First Downs | Fumbles | Fumbles Lost |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1999 | NO | 12 | 28 | 172 | 6.1 | 29 | 0 | 8 | 0 | 0 |
| 2000 | NO | 10 | 44 | 409 | 9.3 | 24 | 1 | 19 | 0 | 0 |
| 2001 | NO | 16 | 60 | 511 | 8.5 | 42 | 1 | 19 | 2 | 2 |
| 2002 | MIA | 16 | 47 | 363 | 7.7 | 52 | 1 | 14 | 0 | 0 |
| 2003 | MIA | 16 | 50 | 351 | 7.0 | 59 | 1 | 11 | 3 | 1 |
| 2005 | MIA | 12 | 17 | 93 | 5.5 | 19 | 0 | 3 | 0 | 0 |
| 2008 | MIA | 16 | 29 | 219 | 7.6 | 47 | 1 | 9 | 1 | 0 |
| 2009 | MIA | 16 | 35 | 264 | 7.5 | 59 | 2 | 9 | 1 | 0 |
| 2010 | MIA | 16 | 19 | 141 | 7.4 | 28 | 1 | 6 | 0 | 0 |
| 2011 | BAL | 16 | 13 | 83 | 6.4 | 18 | 0 | 5 | 0 | 0 |
| Career |  | 147 | 342 | 2,606 | 7.6 | 59 | 8 | 103 | 7 | 3 |
