# Kent County Council Term Dates — Sample Calendar with Named Schools as Primary Subject

| School (Kent) | Phase | Term / Holiday | Start Date | End Date | LA Reference |
| --- | --- | --- | --- | --- | --- |
| Simon Langton Grammar School for Boys | Secondary | Autumn Term | 2024-09-02 | 2024-10-18 | KCC pattern noted |
| Simon Langton Grammar School for Boys | Secondary | Autumn Half Term | 2024-10-21 | 2024-10-25 |  |
| Maidstone Grammar School | Secondary | Autumn Term | 2024-09-02 | 2024-10-25 | KCC pattern noted |
| Maidstone Grammar School | Secondary | Autumn Half Term | 2024-10-28 | 2024-11-01 |  |
| Tunbridge Wells Grammar School for Girls | Secondary | Christmas Holiday | 2024-12-23 | 2025-01-03 |  |
| Ashford School | Independent | Christmas Holiday | 2024-12-14 | 2025-01-06 | Not aligned to KCC |
| Dartford Grammar School | Secondary | Spring Half Term | 2025-02-17 | 2025-02-21 |  |
| The Judd School | Secondary | Easter Holiday | 2025-04-07 | 2025-04-21 |  |
| Dover Grammar School for Boys | Secondary | Summer Half Term | 2025-05-26 | 2025-05-30 |  |
