# Extraocular Muscles and Direct Cranial Nerve Innervation (III IV VI) with Oculomotor Branches

| Muscle group | Specific muscle | Primary motor innervation | CN III branch (if applicable) | Quick recall note |
| --- | --- | --- | --- | --- |
| Recti | Superior rectus | Oculomotor nerve (CN III) | Superior division | “LR6 SO4, rest III” (rest includes SR) |
| Recti | Inferior rectus | Oculomotor nerve (CN III) | Inferior division | CN III (inferior division) |
| Recti | Medial rectus | Oculomotor nerve (CN III) | Inferior division | CN III (inferior division) |
| Recti | Lateral rectus | Abducens nerve (CN VI) | — | LR = VI |
| Obliques | Superior oblique | Trochlear nerve (CN IV) | — | SO = IV |
| Obliques | Inferior oblique | Oculomotor nerve (CN III) | Inferior division | IO = III (inferior division) |
| Eyelid (often reviewed with EOMs) | Levator palpebrae superioris | Oculomotor nerve (CN III) | Superior division | CN III (superior division) |
| Parasympathetic (not a muscle) | Sphincter pupillae (pupil constriction) | Oculomotor nerve (CN III) | Inferior division via ciliary ganglion | Included for CN III completeness |
| Parasympathetic (not a muscle) | Ciliary muscle (accommodation) | Oculomotor nerve (CN III) | Inferior division via ciliary ganglion | Included for CN III completeness |
