# 2024 NCAA Division I Men's Basketball Conference Tournament Schedule (Dates and Host Sites)

| Conference | Tournament (Conference-level) | Dates (local) | City | Primary venue / host site | Notes |
| --- | --- | --- | --- | --- | --- |
| ACC | ACC Men's Basketball Tournament | Mar 12–16, 2024 | Washington, DC | Capital One Arena | Neutral-site bracket tournament |
| Big 12 | Big 12 Championship | Mar 12–16, 2024 | Kansas City, MO | T-Mobile Center | Neutral site |
| Big East | Big East Tournament | Mar 13–16, 2024 | New York, NY | Madison Square Garden | Neutral site |
| Big Ten | Big Ten Tournament | Mar 13–17, 2024 | Minneapolis, MN | Target Center | Neutral site |
| Pac-12 | Pac-12 Tournament | Mar 13–16, 2024 | Las Vegas, NV | T-Mobile Arena | Neutral site |
| SEC | SEC Tournament | Mar 13–17, 2024 | Nashville, TN | Bridgestone Arena | Neutral site |
| American (AAC) | AAC Men's Basketball Championship | Mar 13–17, 2024 | Fort Worth, TX | Dickies Arena | Neutral site |
| Mountain West | Mountain West Tournament | Mar 13–16, 2024 | Las Vegas, NV | Thomas & Mack Center | Neutral site |
| West Coast (WCC) | WCC Tournament | Mar 7–12, 2024 | Las Vegas, NV | Orleans Arena | Neutral site, multi-day format |
