# Cruise Lines and Basic Company Descriptors (Active vs. Defunct)

| Cruise line (brand) | Status | Headquarters (country/territory) | Segment | Notes |
|---|---|---|---|---|
| Saga Cruises | Active | United Kingdom | Adults/senior-focused | UK-origin line known for smaller-ship cruising |
| Ponant | Active | France | Luxury expedition | French-flag luxury/expedition operator |
| Seabourn | Active | United States | Luxury | Small-ship luxury brand |
| Windstar Cruises | Active | United States | Small ship | Yacht-style cruising |
| Hurtigruten (Norway) | Active | Norway | Expedition/coastal | Coastal/expedition operator with cruise offerings |
| Celestyal Cruises | Active | Greece | Regional | Strong focus on Greek Isles/Eastern Med |
| Paul Gauguin Cruises | Active | France | Luxury | South Pacific-focused luxury brand |
| Phoenix Reisen (Ocean Cruises) | Active | Germany | Mainstream | German tour operator with cruise brand |
| Pullmantur Cruises | Defunct/Suspended | Spain | Mainstream | Operations suspended/ended; historically Spain/LatAm market |
| Louis Cruise Lines | Rebranded/Defunct | Cyprus | Mainstream | Brand evolved into other operations over time |
| Cruise & Maritime Voyages | Defunct | United Kingdom | Mainstream | Ceased operations; previously UK-based |
| Ibero Cruises | Defunct | Spain | Mainstream | Brand discontinued; previously Spanish market |
| Thomson Cruises (Marella Cruises) | Rebranded | United Kingdom | Mainstream | Continued under the Marella Cruises brand |
| Croisières de France (CDF) | Defunct | France | Mainstream | Brand discontinued; previously French market |
| Black Sea Shipping Company (cruise division) | Defunct | Ukraine | Legacy operator | Former operator associated with Soviet-era passenger services |
