# Common Inorganic Ligands  Formulas and Explicit Charges (Monodentate and Ambidentate)

| Ligand (name) | Ligand formula | Common binding atom(s) | Explicit ligand charge |
|---|---|---|---|
| Chloride | Cl− | Cl | − |
| Bromide | Br− | Br | − |
| Iodide | I− | I | − |
| Fluoride | F− | F | − |
| Hydroxide (hydroxo) | OH− | O | − |
| Oxide (oxo) | O2− | O | 2− |
| Cyanide (cyano) | CN− | C (or N) | − |
| Thiocyanate (thiocyanato) | SCN− | S or N (ambidentate) | − |
| Nitrite (nitrito/nitro) | NO2− | O (nitrito) or N (nitro) | − |
| Azide (azido) | N3− | N | − |
| Hydrosulfide (hydrosulfido) | HS− | S | − |
| Amide (amido) | NH2− | N | − |
