# Papa Murphy's Pizza Add-Ons, Toppings, and Baking Accessories

| Category | Item | Notes | Price |
| --- | --- | --- | --- |
| Toppings | Extra Cheese | Added to any pizza | $2.00 |
| Toppings | Premium Meat | Per pizza | $2.50 |
| Toppings | Vegetables | Per pizza | $1.75 |
| Sauces | Garlic Sauce Cup | Side cup | $0.99 |
| Sauces | Ranch Cup | Side cup | $0.99 |
| Sides | Cookie Dough | Take & bake dessert | $6.99 |
| Sides | Cheesy Bread | Large | $7.49 |
| Drinks | 2-Liter Soda | Bottle | $3.25 |
| Accessories | Baking Tray | Reusable | $4.99 |
| Accessories | Pizza Cutter | Tool | $5.49 |
| Specials | Add a Side + Drink | With any pizza purchase | $4.50 |
