# Indian Chess Championship
> Women 's final standings

|  | Player | Rating | Points | TB | Perf. | +/- |
| --- | --- | --- | --- | --- | --- |
| 1 | Humpy Koneru ( IND ) | 2468 | 16 |  | 2713 | +27 |
| 2 | Subbaraman Vijayalakshmi ( IND ) | 2426 | 14½ |  | 2540 | +20 |
| 3 | Nisha Mohota ( IND ) | 2321 | 11 | 87.25 | 2346 | +7 |
| 4 | Dronavalli Harika ( IND ) | 2353 | 11 | 81.00 | 2345 | 0 |
| 5 | Subbaraman Meenakshi ( IND ) | 2288 | 10 | 73.75 | 2304 | +5 |
| 6 | Eesha Karavade ( IND ) | 2211 | 10 | 70.00 | 2309 | +23 |
| 7 | Sachdev Tania ( IND ) | 2218 | 9 |  | 2267 | +11 |
| 8 | Aarthie Ramaswamy ( IND ) | 2322 | 8 | 62.50 | 2221 | -23 |
| 9 | Kruttika Nadig ( IND ) | 2145 | 8 | 56.00 | 2230 | -18 |
| 10 | Ghate Swathi ( IND ) | 2309 | 8 | 54.75 | 2222 | -20 |
| 11 | Anupama Gokhale ( IND ) | 2217 | 8 | 54.00 | 2226 | +1 |
| 12 | Yuvaraj Pratihba ( IND ) | 2231 | 7 | 53.75 | 2185 | -12 |
| 13 | Bagyashree Sathe Thipsay ( IND ) | 2249 | 7 | 48.00 | 2184 | -16 |
| 14 | Chandra Hawsa Koneru ( IND ) | 2139 | 6½ |  | 2168 | +5 |
| 15 | Nath Saheli ( IND ) | 2127 | 6 | 40.00 | 2146 | +2 |
| 16 | Sai Ravi Meera ( IND ) | 2160 | 6 | 39.00 | 2146 | -5 |
| 17 | MR Sangeetha ( IND ) | 2140 | 4 |  | 2047 | -21 |
| 18 | Cv Rajalakshmi ( IND ) | 2092 | 3 |  | 1987 | -20 |
