# Mainland China Access Issues  Services and Domains (No Per-Row URL Field)

| Service | Domain | Typical Block Method | Reliability of Access |
| --- | --- | --- | --- |
| Google | google.com | DNS poisoning / IP blocking | Low |
| Google Maps | google.com | DNS poisoning | Low |
| YouTube | youtube.com | IP blocking | Very low |
| Facebook | facebook.com | DNS poisoning / SNI filtering | Very low |
| X (Twitter) | twitter.com | IP blocking | Very low |
| Wikipedia | wikipedia.org | DNS poisoning | Low |
| Dropbox | dropbox.com | DNS poisoning | Low |
| Medium | medium.com | DNS interference | Low |
| Discord | discord.com | IP blocking | Low |
| Twitch | twitch.tv | IP blocking | Low |
