# Egyptian Deities by Name and Epithets (Titles Without Domains)

| Deity | Common epithet/title | Transliteration | Source tradition | Notes |
|---|---|---|---|---|
| Ra | "Lord of the Two Horizons" | nb ȝḫty | Solar hymns | Title usage varies |
| Isis | "Great of Magic" | wrt-ḥkȝw | Temple texts | Epithet-focused |
| Osiris | "Foremost of the Westerners" | ḫnty-ỉmntỉw | Funerary texts | Often in tombs |
| Hathor | "Mistress of Dendera" | nbt-ỉwnt | Dendera cult | Place-linked epithet |
| Amun | "Hidden One" | ỉmn | Theban theology | Name as concept |
| Ptah | "South of His Wall" | rsj-ỉnb=f | Memphite tradition | Local title |
| Horus | "He of Edfu" | ḥr bḥdtj | Edfu cult | Local form |
| Neith | "Opener of the Ways" | wp-wȝwt (title overlap) | Delta cult | Title emphasis |
| Anubis | "He Who Is Upon His Mountain" | tpy ḏw=f | Embalming liturgy | Formulaic epithet |
| Sekhmet | "The Powerful One" | sḫmt | Memphite/Theban | Title-driven |
| Thoth | "Lord of Khemennu" | nb ḫmnw | Hermopolis | City-linked title |
