# New South Wales (NSW) School Term Dates and Holidays 2024 (Example Calendar)

| Period | Start Date | End Date | Notes |
| --- | --- | --- | --- |
| Term 1 | 29 Jan 2024 | 12 Apr 2024 | First day for students; dates vary by school in some cases |
| Autumn Holidays | 13 Apr 2024 | 28 Apr 2024 | Two-week break between Term 1 and Term 2 |
| Term 2 | 29 Apr 2024 | 05 Jul 2024 | Includes public holidays within term |
| Winter Holidays | 06 Jul 2024 | 21 Jul 2024 | Mid-year break |
| Term 3 | 22 Jul 2024 | 27 Sep 2024 | Standard length term |
| Spring Holidays | 28 Sep 2024 | 13 Oct 2024 | Break between Term 3 and Term 4 |
| Term 4 | 14 Oct 2024 | 20 Dec 2024 | End-of-year term |
| Summer Holidays | 21 Dec 2024 | 26 Jan 2025 | Break spans into next year |
| School Development Days (no students) | 27 Jan 2025 | 28 Jan 2025 | Staff only; not a student attendance period |
