# U.S. State Capital Gains Treatment — Short-Term vs Long-Term Rates and Notable Preferences

| State | Capital Gains Short-Term Rate | Capital Gains Long-Term Rate | Preferential Treatment for Long-Term? | Notes |
|---|---:|---:|---|---|
| New York | 10.9% | 10.9% | No | Capital gains generally taxed as ordinary income at state level |
| New Jersey | 10.75% | 10.75% | No | Capital gains taxed as ordinary income; no special long-term rate |
| Massachusetts | 8.5% | 5.0% | Yes | Different rates may apply depending on holding period |
| Michigan | 4.25% | 4.25% | No | Flat income tax; capital gains taxed as ordinary income |
| North Carolina | 4.75% | 4.75% | No | Flat income tax; no separate long-term CG rate |
| Arizona | 2.5% | 2.5% | No | Flat income tax; capital gains generally treated as ordinary income |
| Wisconsin | 7.65% | 5.10% | Yes | Partial exclusion/deduction for long-term gains may reduce effective rate |
| South Carolina | 7.0% | 4.55% | Yes | Long-term capital gains may receive a state deduction |
| Montana | 5.9% | 4.1% | Yes | Long-term gains may be taxed at a reduced effective rate via state preference |
| Vermont | 8.75% | 7.38% | Yes | Long-term gains may be partially excluded depending on eligibility |
