# U.S. Senate Majority Party by Congress (Selected Congresses, 93rd–103rd)

| Congress | Years | Senate majority (party) | Majority size (seats) | Notes |
|---|---|---|---:|---|
| 93rd | 1973–1975 | Democratic | 56–42 | Includes 1 Conservative (caucused R) and 1 independent/other in some counts |
| 94th | 1975–1977 | Democratic | 60–38 | Post-Watergate elections strengthened Democrats |
| 95th | 1977–1979 | Democratic | 61–38 | Democrats retained clear majority |
| 96th | 1979–1981 | Democratic | 58–41 | Majority narrowed relative to mid-1970s |
| 97th | 1981–1983 | Republican | 53–46 | First GOP Senate control since the 1950s; start of Reagan era |
| 98th | 1983–1985 | Republican | 54–46 | Republicans held majority |
| 99th | 1985–1987 | Republican | 53–47 | Republicans held majority |
| 100th | 1987–1989 | Democratic | 55–45 | Democrats regained control after 1986 elections |
| 101st | 1989–1991 | Democratic | 55–45 | Continued Democratic control |
| 102nd | 1991–1993 | Democratic | 56–44 | Democrats held majority |
| 103rd | 1993–1995 | Democratic | 57–43 | Democrats held Senate majority through early Clinton years |
