# Valkyrie (2008) — Cast & Key Crew Snapshot (IMDb-style)

| Section | Name | Credited As / Role | Notes |
|---|---|---|---|
| Cast | Tom Cruise | Colonel Claus von Stauffenberg | Lead |
| Cast | Kenneth Branagh | General Henning von Tresckow | Supporting |
| Cast | Bill Nighy | General Friedrich Olbricht | Supporting |
| Cast | Eddie Izzard | General Erich Fellgiebel | Supporting |
| Cast | Terence Stamp | Ludwig Beck | Supporting |
| Crew — Director | Bryan Singer | Director |  |
| Crew — Writers | Christopher McQuarrie | Screenplay |  |
| Crew — Producers | Christopher McQuarrie | Producer |  |
| Crew — Cinematography | Newton Thomas Sigel | Director of Photography |  |
| Crew — Music | John Ottman | Original Music Composer |  |
