# Megapixels to Pixel Dimensions Chart (3 2 Aspect Ratio – Common for Many DSLR Mirrorless Cameras)

| Megapixels (MP) | Typical Aspect Ratio | Typical Resolution (W × H, pixels) | Notes |
|---:|:---:|:---:|:---|
| 6 | 3:2 | 3000 × 2000 | common entry-level resolution |
| 10 | 3:2 | 3872 × 2592 | often seen in older DSLRs |
| 12 | 3:2 | 4288 × 2848 | typical mid-range count |
| 16 | 3:2 | 4920 × 3280 | rounded to a common pixel grid |
| 18 | 3:2 | 5184 × 3456 | widely used size |
| 20 | 3:2 | 5472 × 3648 | common modern standard |
| 24 | 3:2 | 6000 × 4000 | very common APS-C / some FF |
| 30 | 3:2 | 6720 × 4480 | higher-resolution stills |
| 36 | 3:2 | 7360 × 4912 | high-res full-frame class |
