# High-Fiber Foods by Typical Serving (Legumes, Vegetables, Nuts & Seeds)

| Category | Food item | Typical serving | Fiber (g/serving) |
| --- | --- | --- | --- |
| Legumes | Lentils, cooked | 1/2 cup | 7.8 |
| Legumes | Black beans, cooked | 1/2 cup | 7.5 |
| Legumes | Chickpeas, cooked | 1/2 cup | 6.2 |
| Vegetables | Artichoke, cooked | 1 medium | 6.9 |
| Vegetables | Green peas, cooked | 1/2 cup | 4.4 |
| Vegetables | Broccoli, cooked (chopped) | 1 cup | 5.1 |
| Nuts & seeds | Chia seeds | 2 Tbsp | 10.0 |
| Nuts & seeds | Almonds | 1 oz (about 23 nuts) | 3.5 |
| Nuts & seeds | Pumpkin seeds (pepitas) | 1 oz | 1.7 |
