# Undergraduate Tuition & Fees by Credit Hour (Selected US Colleges)

| School | Residency | Cost per Credit Hour | Typical Full-Time Load (credits/term) | Notes |
| --- | --- | --- | --- | --- |
| Ohio State University | Resident | $418 | 15 | Excludes housing/meal plan |
| Ohio State University | Nonresident | $1,140 | 15 | Rate varies by program |
| University of Connecticut | Resident | $585 | 15 | Upper-division surcharge may apply |
| University of Connecticut | Nonresident | $1,450 | 15 | Differential tuition possible |
| Temple University | Resident | $575 | 15 | Does not include mandatory fees |
| Temple University | Nonresident | $1,095 | 15 | Professional programs differ |
| University of Memphis | In-state | $435 | 15 | Campus-based fees billed separately |
| University of Memphis | Out-of-state | $980 | 15 | Some fees waived online |
| Nevada State College | Resident | $142 | 15 | Per-credit rate shown |
| Nevada State College | Nonresident | $292 | 15 | Western Undergraduate Exchange not shown |
