# Kevin Williams ( wide receiver )
> Professional career

| Year | Team | Games | Punt Return Attempts | Punt Return Yards | Punts Returned for Touchdown | Punts Fair Caught | Longest Punt Return | Kickoff Return Attempts | Kickoff Return Yards | Kickoffs Returned for Touchdown | Kickoffs Fair Caught | Longest Kickoff Return |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1993 | DAL | 16 | 36 | 381 | 2 | 14 | 64 | 31 | 689 | 0 | 0 | 49 |
| 1994 | DAL | 15 | 39 | 349 | 1 | 13 | 83 | 43 | 1,148 | 1 | 0 | 87 |
| 1995 | DAL | 16 | 18 | 166 | 0 | 15 | 30 | 49 | 1,108 | 0 | 0 | 43 |
| 1996 | DAL | 10 | 2 | 17 | 0 | 0 | 9 | 21 | 471 | 0 | 0 | 39 |
| 1997 | ARI | 16 | 40 | 462 | 0 | 15 | 50 | 59 | 1,458 | 0 | 0 | 63 |
| 1998 | BUF | 16 | 37 | 369 | 0 | 11 | 73 | 47 | 1,059 | 0 | 0 | 46 |
| 1999 | BUF | 16 | 33 | 331 | 0 | 17 | 27 | 42 | 840 | 0 | 0 | 62 |
| 2000 | SF | 16 | 26 | 220 | 0 | 13 | 25 | 30 | 536 | 0 | 0 | 33 |
| Career |  | 121 | 231 | 2,295 | 3 | 98 | 83 | 322 | 7,309 | 1 | 0 | 87 |
