# Irish Sports Personality of the Year — Winners by Year

| Year | Recipient | Sport / Discipline | Notes |
|---:|---|---|---|
| 2010 | Katie Taylor | Boxing | European champion season |
| 2011 | Rory McIlroy | Golf | Major breakthrough year |
| 2012 | Katie Taylor | Boxing | Olympic gold medalist |
| 2013 | Brian O'Driscoll | Rugby union | Career recognition near retirement |
| 2014 | Sonia O'Sullivan | Athletics | Lifetime-style recognition edition |
| 2015 | Paul O'Donovan | Rowing | World-level medal season |
| 2016 | Kellie Harrington | Boxing | Major international title year |
| 2017 | Johnny Sexton | Rugby union | Key international performances |
| 2018 | Daniel Wiffen | Swimming | Breakthrough on world stage |
| 2019 | Shane Lowry | Golf | Major championship winner |
