# Scottish Premiership clubs (2016–17 season) – city and stadium overview

| Club (conventional name) | Official name | City | Home stadium | Common short name |
|---|---|---|---|---|
| Aberdeen | Aberdeen Football Club | Aberdeen | Pittodrie Stadium | Aberdeen |
| Celtic | The Celtic Football Club | Glasgow | Celtic Park | Celtic |
| Dundee | Dundee Football Club | Dundee | Dens Park | Dundee FC |
| Hamilton Academical | Hamilton Academical Football Club | Hamilton | New Douglas Park | Accies |
| Heart of Midlothian | Heart of Midlothian Football Club | Edinburgh | Tynecastle Park | Hearts |
| Inverness Caledonian Thistle | Inverness Caledonian Thistle Football Club | Inverness | Caledonian Stadium | Inverness CT |
| Kilmarnock | Kilmarnock Football Club | Kilmarnock | Rugby Park | Killie |
| Motherwell | Motherwell Football Club | Motherwell | Fir Park | Motherwell |
| Partick Thistle | Partick Thistle Football Club | Glasgow | Firhill Stadium | Partick |
| Rangers | Rangers Football Club | Glasgow | Ibrox Stadium | Rangers |
| Ross County | Ross County Football Club | Dingwall | Victoria Park | Ross County |
| St Johnstone | St Johnstone Football Club | Perth | McDiarmid Park | Saints |
