# Byzantine Empresses and Augustae (8th–11th centuries) with court context

| Name | Court title | Date named / recognized | Reigning emperor(s) connected | Relationship (spouse/kin/regent) | Brief identifying context |
|---|---|---|---|---|---|
| Irene of Athens | Augusta; empress-regnant | 780 (as regent), 797 (sole ruler) | Constantine VI | Mother and regent; later ruled alone | Controlled the court during Constantine VI’s minority; later deposed her son |
| Euphrosyne (daughter of Constantine VI) | Augusta (empress-consort) | 823 | Michael II | Wife | Marriage used to strengthen legitimacy after dynastic turmoil |
| Theodora (wife of Theophilos) | Augusta; regent | 830s; regency from 842 | Theophilos; Michael III | Wife; mother and regent | Central figure in the restoration of icons during her regency |
| Eudokia Ingerina | Augusta (recognized at court) | 866/867 (court recognition varies by source) | Basil I; Michael III | Consort associated with transition of power | Prominent in late Amorian/early Macedonian court politics |
| Helena (wife of Constantine VII) | Augusta (empress-consort) | 919/920 | Constantine VII | Wife; daughter of Romanos I | Connected Macedonian line to the Lekapenos family through marriage |
| Theophano (wife of Romanos II) | Augusta (empress-consort) | 956 | Romanos II; later linked to Nikephoros II Phokas and John I Tzimiskes | Wife; later remarried into ruling circle | Key figure in succession after Romanos II; mother of Basil II and Constantine VIII |
| Theodora Porphyrogenita | Augusta; empress-regnant | 1055 | (Reigned in her own right) | Sister of Zoe | Ruled briefly as senior imperial woman after Zoe’s death |
| Zoe Porphyrogenita | Augusta; empress-regnant | 1028; sole authority 1042 | Romanos III; Michael IV; Constantine IX | Wife (multiple); co-ruler | Ruled as imperial heiress; co-empress in 1042 and a central dynastic link |
| Maria of Alania | Augusta (empress-consort) | 1071; later retained court rank | Michael VII; Nikephoros III | Wife; later political patronage | Maintained influence across regime change; associated with Alexios I’s rise |
| Catherine of Bulgaria | Augusta (empress-consort) | 1057 | Isaac I Komnenos | Wife | Court status tied directly to Isaac I’s short reign; example of named Augusta in Komnenian transition |
