# Landlocked Status Classification  Landlocked vs Doubly Landlocked (Selected Countries)

| Classification | Country | Landlocked status |
|---|---|---|
| Doubly landlocked | Uzbekistan | Landlocked (doubly landlocked) |
| Doubly landlocked | Liechtenstein | Landlocked (doubly landlocked) |
| Landlocked | Austria | Landlocked |
| Landlocked | Switzerland | Landlocked |
| Landlocked | Hungary | Landlocked |
| Landlocked | Slovakia | Landlocked |
| Landlocked | Serbia | Landlocked |
| Landlocked | North Macedonia | Landlocked |
| Landlocked | Nepal | Landlocked |
| Landlocked | Bhutan | Landlocked |
| Landlocked | Mongolia | Landlocked |
| Landlocked | Afghanistan | Landlocked |
| Landlocked | Bolivia | Landlocked |
| Landlocked | Paraguay | Landlocked |
