# Book Names Across English Bible Versions (OT Sample  Pentateuch + Historical Books)

| # | Traditional Order (Common) | King James Version (KJV) | New International Version (NIV) | New Revised Standard Version (NRSV) | Notes on Labeling |
|---:|---|---|---|---|---|
| 1 | Genesis | Genesis | Genesis | Genesis | Identical across these versions |
| 2 | Exodus | Exodus | Exodus | Exodus | Identical |
| 3 | Leviticus | Leviticus | Leviticus | Leviticus | Identical |
| 4 | Numbers | Numbers | Numbers | Numbers | Identical |
| 5 | Deuteronomy | Deuteronomy | Deuteronomy | Deuteronomy | Identical |
| 6 | Joshua | Joshua | Joshua | Joshua | Identical |
| 7 | Judges | Judges | Judges | Judges | Identical |
| 8 | Ruth | Ruth | Ruth | Ruth | Identical |
| 9 | 1 Samuel | I Samuel | 1 Samuel | 1 Samuel | KJV often uses Roman numerals |
| 10 | 2 Samuel | II Samuel | 2 Samuel | 2 Samuel | KJV Roman numerals |
| 11 | 1 Kings | I Kings | 1 Kings | 1 Kings | KJV Roman numerals |
| 12 | 2 Kings | II Kings | 2 Kings | 2 Kings | KJV Roman numerals |
| 13 | 1 Chronicles | I Chronicles | 1 Chronicles | 1 Chronicles | KJV Roman numerals |
| 14 | 2 Chronicles | II Chronicles | 2 Chronicles | 2 Chronicles | KJV Roman numerals |
| 15 | Ezra | Ezra | Ezra | Ezra | Identical |
| 16 | Nehemiah | Nehemiah | Nehemiah | Nehemiah | Identical |
| 17 | Esther | Esther | Esther | Esther | Identical |
| 18 | Job | Job | Job | Job | Identical |
