# Governors General of New France (1725–1763) — Succession by Term

| Century segment | Office holder | Term (start–end) | Appointment/authority | Succession note |
| --- | --- | --- | --- | --- |
| Mid-18th century | Philippe de Rigaud de Vaudreuil | 1703–1725 | King of France | Predecessor to Beauharnois (included for continuity) |
|  | Charles de Beauharnois de La Boische, Marquis de Beauharnois | 1726–1747 | King of France | Long civil/military administration |
| War period | Roland-Michel Barrin de La Galissonière (acting) | 1747–1749 | King of France | Acting/administrator between permanent appointments |
|  | Jacques-Pierre de Taffanel de La Jonquière | 1749–1752 | King of France | Succeeded La Galissonière |
|  | Charles Le Moyne de Longueuil (acting) | 1752–1752 | King of France | Interim following La Jonquière |
| Seven Years’ War | Ange Duquesne de Menneville, Marquis Duquesne | 1752–1755 | King of France | Preceded Vaudreuil-Cavagnal |
|  | Pierre de Rigaud de Vaudreuil-Cavagnal | 1755–1760 | King of France | Last governor general under French rule |
| After capitulation | Jean-Baptiste de Ramezay (military commander; de facto interim) | 1760–1763 | French military authority | Included to show end-of-regime continuity until cession |
|  | British military governors (not New France office) | 1760–1763 | British Crown | Not part of the New France governor general roster |
