# World Time Zones and DST Offsets by Country Territory (Overview)

| Country/Territory | Continent | Primary Time Zone | Standard UTC Offset | DST UTC Offset | DST Abbrev | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| United States | North America | Eastern Time | UTC-05:00 | UTC-04:00 | EDT | Multiple zones nationwide |
| United Kingdom | Europe | GMT | UTC+00:00 | UTC+01:00 | BST |  |
| Germany | Europe | CET | UTC+01:00 | UTC+02:00 | CEST |  |
| Russia | Europe/Asia | Moscow Time | UTC+03:00 | — | — | DST not used |
| India | Asia | IST | UTC+05:30 | — | — | DST not used |
| Japan | Asia | JST | UTC+09:00 | — | — | DST not used |
| Australia | Oceania | AEST | UTC+10:00 | UTC+11:00 | AEDT | Some states only |
| Brazil | South America | BRT | UTC-03:00 | UTC-02:00 | BRST | Regional rules |
| South Africa | Africa | SAST | UTC+02:00 | — | — | DST not used |
