# Metropolitan and Micropolitan Statistical Areas in South Carolina (Selected)

| Type | Statistical area | Principal city | Population (2015) | Notes |
| --- | --- | --- | ---: | --- |
| MSA | Greenville–Anderson–Mauldin, SC | Greenville | 874,869 | Metro statistical area |
| MSA | Columbia, SC | Columbia | 810,068 | Metro statistical area |
| MSA | Charleston–North Charleston, SC | Charleston | 744,526 | Metro statistical area |
| MSA | Myrtle Beach–Conway–North Myrtle Beach, SC–NC | Myrtle Beach | 431,964 | Cross-state metro |
| μSA | Greenwood, SC | Greenwood | 95,078 | Micropolitan statistical area |
| μSA | Seneca, SC | Seneca | 74,273 | Micropolitan statistical area |
| μSA | Gaffney, SC | Gaffney | 55,342 | Micropolitan statistical area |
| CSA | Greenville–Spartanburg–Anderson, SC | Greenville | 1,475,235 | Combined statistical area |
| CSA | Columbia–Orangeburg–Newberry, SC | Columbia | 999,999 | Combined statistical area |
