# List of Dragon Ball Z episodes
> Episode list

| Ep# | Initial dub ep# | Translated title/Original dub title [Funimation's dub title] Japanese title | Japanese airdate | English airdate |
| --- | --- | --- | --- | --- |
| 40 | 29 | "Honest to Goodness? There Lies Namek, Planet of Hope" / "Friends or Foes?" [Held Captive] "Honto ni Honto? Are ga Kibō no Namekkusei" (ホントにホント？あれが希望のナメック星) | March 14, 1990 | September 20, 1997 August 22, 2005 (re-dub) |
| 41 | 29 | "Kind-hearted Aliens — There's the Wu Xing Qiu Already" / "Friends or Foes?" [Friends or Foes?] "Shinsetsu na Uchūjin — Ikinari Atta yo Ūshinchū" (親切な宇宙人いきなりあったよ五星球) | March 21, 1990 | September 20, 1997 August 23, 2005 (re-dub) |
| 42 | 30 | "Planet Freeza No. 79 — Vegeta Recovers!!" / "Hunt for a Dragon Ball" [The Search Continues] "Wakusei Furīza Nanbā Nanajūkyū — Fukkatsu no Bejīta!!" (惑星フリーザNO.79復活のベジータ!!) | April 4, 1990 | September 20, 1997 August 24, 2005 (re-dub) |
| 43 | 31 | "The Dragon Balls are All Found! Piccolo- san Will Also Come Back to Life" / "Who's Who?!" [A Friendly Surprise] "Sorotta zo Doragon Bōru! Pikkorosan mo Ikikaeru" (そろったぞ神龍球！ピッコロさんも生き返る) | April 11, 1990 | September 27, 1997 August 25, 2005 (re-dub) |
| 44 | 32 | "A Tough New Enemy! Freeza, Emperor of the Universe" / "Touchdown on Namek" [Brood of Evil] "Arata na Kyōteki! Uchū no Teiō Furīza" (あらたな強敵！宇宙の帝王フリーザ) | April 18, 1990 | September 27, 1997 August 29, 2005 (re-dub) |
| 45 | 33 | "Vegeta's Ambition! I am the Greatest Warrior in the Universe!!" / "Face-off on Namek" [Frieza Strikes!] "Yabō no Bejīta! Uchūichi no Senshi wa Ore Da!!" (野望のベジータ！宇宙一の戦士はオレだ!!) | April 25, 1990 | October 4, 1997 August 30, 2005 (re-dub) |
| 46 | 34 | "Goku's Power Unleashed!! Six Days to the Far End of the Galaxy" / "The Ruthless Frieza" [Defying Orders] "Gokū Pawā Zenkai!! Ginga no Hate made Muikakan" (悟空パワー全開!!銀河の果てまで6日間) | May 2, 1990 | October 4, 1997 August 31, 2005 (re-dub) |
| 47 | 35 | "Surprise Attack!! The Elder's Target was the Scouters" / "The Nameks versus Frieza" [Namek's Defense] "Ihyō o Tsuita Kōgeki!! Chōrō no Nerai wa Sukautā" (意表をついた攻撃!!長老の狙いはスカウター) | May 9, 1990 | October 11, 1997 September 1, 2005 (re-dub) |
| 48 | 36 | "Gohan in Peril! A Pursuing Dodoria Summons Death" / "Escape from Dodoria" [The Hunted] "Gohan Ayaushi! Shi o Yobu Tsuisekisha Dodoria" (悟飯危うし！死を呼ぶ追跡者ドドリア) | May 16, 1990 | October 11, 1997 September 5, 2005 (re-dub) |
