# Diploma-Level Government & PSU Openings (India) — Organizations and Specific Posts

| Organization / Employer | Post / Role (Specific) | Diploma Stream (Typical) | Employment Type | Typical Selection Mode |
| --- | --- | --- | --- | --- |
| Indian Railways (RRB) | Junior Engineer (JE) | Mechanical / Civil / Electrical / Electronics | Central Govt | CBT + Document Verification |
| Indian Railways (RRB) | Depot Material Superintendent (DMS) | Engineering / Stores-related diploma | Central Govt | CBT + Document Verification |
| Indian Railways (RRB) | Chemical & Metallurgical Assistant (CMA) | Metallurgy / Chemical diploma | Central Govt | CBT + DV |
| Central Public Works Department (CPWD) | Junior Engineer (Civil) | Civil Diploma | Central Govt | Competitive Exam |
| Military Engineer Services (MES) | Draughtsman (Civil) | Civil Diploma (Drafting) | Defence (Govt) | Written Test + Skill Test |
| Border Roads Organisation (BRO) | Junior Engineer (Civil) | Civil Diploma | Defence (Govt) | Written Test + Medical |
| National Highways Authority of India (NHAI) | Site Supervisor (Highway Projects) | Civil Diploma | Central Govt Authority | Interview / Test (varies) |
| Central Water Commission (CWC) | Junior Engineer (Mechanical) | Mechanical Diploma | Central Govt | Competitive Exam |
| Airport Authority of India (AAI) | Junior Assistant (Fire Service) | Diploma in Fire / Mechanical (as applicable) | PSU | Written Test + Physical/Driving |
| Bharat Electronics Limited (BEL) | Technician ‘C’ (Electronics) | Electronics / ECE Diploma | PSU | Written Test + Trade Test |
| National Thermal Power Corporation (NTPC) | Diploma Trainee (Mechanical) | Mechanical Diploma | PSU | Written Test |
| Indian Oil Corporation Limited (IOCL) | Junior Engineering Assistant (Electrical) | Electrical Diploma | PSU | Written Test + Skill/Interview |
